Year Built,Square Footage,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,State,Property Type,Tags,County
1920.0,3695.0,5.0,6.0,2.0,1115000.0,1070000.0,2023-03-22T16:49:23Z,2023-08-07,30309,Atlanta,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, den_or_office, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, two_or_more_stories, garage_1_or_more, garage_2_or_more, private_bathroom, master_suite, front_porch, shopping",Fulton
1930.0,2240.0,3.0,2.0,2.0,860000.0,875000.0,2023-04-14T15:59:20Z,2023-08-07,30306,Atlanta,GA,single_family,"carport, central_air, central_heat, city_view, community_outdoor_space, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, basement, two_or_more_stories, shopping",Fulton
1976.0,1964.0,3.0,3.0,3.0,379000.0,379000.0,2023-04-21T20:21:31Z,2023-08-07,30339,Atlanta,GA,townhomes,"central_air, central_heat, community_clubhouse, community_outdoor_space, community_security_features, cul_de_sac, dishwasher, family_room, fireplace, laundry_room, recreation_facilities, community_swimming_pool, basement, two_or_more_stories, shopping",Cobb
2018.0,6190.0,7.0,6.0,2.0,1650000.0,1547500.0,2023-03-30T16:45:40Z,2023-08-07,30329,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, cul_de_sac, den_or_office, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, open_floor_plan, floor_plan, front_porch, big_lot, views, shopping",DeKalb
2019.0,2057.0,3.0,4.0,3.0,715000.0,710000.0,2023-06-01T16:11:28Z,2023-08-07,30317,Atlanta,GA,townhomes,"central_air, city_view, community_outdoor_space, community_security_features, dining_room, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, gourmet_kitchen, high_ceiling, ensuite, park, soccer, trails",DeKalb
2006.0,1440.0,2.0,2.0,1.0,584900.0,560000.0,2023-04-10T18:57:11Z,2023-08-07,30346,Atlanta,GA,condos,"central_air, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, corner_lot, dishwasher, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, single_story, garage_1_or_more, garage_2_or_more, community_swimming_pool, floor_plan, rental_property, golf_course, tennis, views, shopping",DeKalb
2015.0,2400.0,3.0,4.0,3.0,485000.0,485000.0,2023-06-29T13:08:23Z,2023-08-07,30318,Atlanta,GA,townhomes,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_tennis_court, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, kitchen_island, large_kitchen, fenced_yard, high_ceiling, open_floor_plan, floor_plan, media_room, tennis_court, efficient, smart_homes, clubhouse, playground, tennis, trails, shopping",Fulton
1956.0,1276.0,3.0,2.0,1.0,379900.0,370000.0,2023-06-27T04:52:00Z,2023-08-07,30316,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, dishwasher, family_room, hardwood_floors, laundry_room, single_story, efficient, ensuite, shopping",DeKalb
1920.0,1722.0,3.0,2.0,1.0,595500.0,590000.0,2023-06-22T13:50:59Z,2023-08-07,30315,Atlanta,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, den_or_office, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, single_story, high_ceiling, front_porch",Fulton
1966.0,2659.0,4.0,2.0,1.0,300000.0,265000.0,2023-06-14T20:20:35Z,2023-08-07,30331,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, corner_lot, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, basement, single_story, garage_1_or_more, garage_2_or_more, private_backyard, front_porch, ensuite, farm, ranch",Fulton
2005.0,2513.0,4.0,4.0,2.0,719900.0,720000.0,2023-06-23T00:16:18Z,2023-08-07,30318,Atlanta,GA,single_family,"central_air, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, updated_kitchen, pond, clubhouse, park, playground, golf_course",Fulton
1960.0,1610.0,3.0,2.0,2.0,449900.0,420000.0,2023-06-29T22:16:49Z,2023-08-07,30345,Atlanta,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, den_or_office, dining_room, family_room, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, farm, ranch, shopping, fixer_upper",DeKalb
1990.0,2933.0,5.0,5.0,2.0,589000.0,610000.0,2023-06-23T15:11:23Z,2023-08-07,30331,Atlanta,GA,single_family,"central_air, community_outdoor_space, community_security_features, family_room, fireplace, hardwood_floors, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, beautiful_backyard, ensuite",Fulton
1930.0,3008.0,4.0,4.0,2.0,1785000.0,1803000.0,2023-07-13T19:59:10Z,2023-08-07,30306,Atlanta,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, community_security_features, corner_lot, den_or_office, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, basement, two_or_more_stories, fenced_yard, master_bathroom, open_floor_plan, floor_plan, big_lot, ensuite",Fulton
2010.0,1198.0,2.0,2.0,1.0,365000.0,353000.0,2023-05-21T13:32:46Z,2023-08-04,30339,Atlanta,GA,condos,"central_air, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, energy_efficient, laundry_room, recreation_facilities, river_view, view, water_view, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, waterfront, open_floor_plan, floor_plan, rental_property, big_lot, efficient, ensuite, clubhouse, park, trails",Fulton
1920.0,2034.0,4.0,2.0,2.0,625000.0,640000.0,2023-06-15T13:14:09Z,2023-08-04,30315,Atlanta,GA,single_family,"central_air, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, park, shopping",Fulton
2005.0,1140.0,1.0,2.0,3.0,395000.0,400000.0,2023-06-23T19:53:59Z,2023-08-04,30307,Atlanta,GA,condos,"central_air, central_heat, community_security_features, dishwasher, energy_efficient, hardwood_floors, laundry_room, washer_dryer, two_or_more_stories, lake",DeKalb
2006.0,5314.0,5.0,7.0,2.0,2800000.0,3125000.0,2023-06-09T01:08:35Z,2023-08-04,30327,Atlanta,GA,single_family,"central_air, community_outdoor_space, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, gourmet_kitchen, floor_plan, big_lot, groundscare, shopping",Fulton
1967.0,1728.0,2.0,3.0,2.0,174999.0,176000.0,2023-05-15T07:58:55Z,2023-08-04,30311,Atlanta,GA,townhomes,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, laundry_room, recreation_facilities, two_or_more_stories, updated_kitchen, gated_community, security",Fulton
1950.0,1317.0,3.0,2.0,1.0,465000.0,450000.0,2023-07-06T16:53:12Z,2023-08-04,30316,Atlanta,GA,single_family,"central_air, city_view, community_outdoor_space, community_security_features, dishwasher, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, single_story, fenced_yard, floor_plan, park, shopping",DeKalb
2019.0,1978.0,3.0,4.0,3.0,624900.0,625000.0,2023-06-26T14:18:37Z,2023-08-04,30316,Atlanta,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, energy_efficient, fireplace, forced_air, hardwood_floors, laundry_room, view, two_or_more_stories, garage_1_or_more, garage_2_or_more, high_ceiling, ensuite, water_view, park",Fulton
