,Year Built,Square Footage,lot sqft,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,lon,lat,State,Property Type,Tags,County
2153,1961.0,,10624.0,,,1.0,269000.0,259000.0,2023-05-11T20:17:40Z,2023-06-13,30315,Atlanta,-84.401612,33.674654,GA,multi_family,"central_air, central_heat, city_view, view, single_story, updated_kitchen",
2154,,,6839.0,,0.0,,199000.0,175000.0,2023-04-16T17:05:02Z,2023-06-13,30312,Atlanta,-84.364647,33.742748,GA,land,"city_view, view",
2155,,,80150.0,,0.0,,,560485.0,,2023-06-13,30329,Atlanta,-84.335666,33.814322,GA,condo,,
2156,1990.0,941.0,941.0,1.0,1.0,1.0,225000.0,210000.0,2023-05-03T14:43:11Z,2023-06-13,30328,Atlanta,-84.359405,33.917494,GA,condos,"central_air, central_heat, city_view, community_clubhouse, community_gym, community_outdoor_space, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, high_ceiling, open_floor_plan, floor_plan, ensuite, clubhouse, park",
2157,1938.0,594.0,9470.0,2.0,1.0,1.0,189999.0,190000.0,2023-05-04T17:56:03Z,2023-06-13,30314,Atlanta,-84.45618,33.761838,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, fireplace, laundry_room, single_story, new_roof",
2158,1956.0,2131.0,17424.0,3.0,2.0,1.0,160000.0,150000.0,2023-05-19T13:03:50Z,2023-06-13,30316,Atlanta,-84.310368,33.700079,GA,single_family,"carport, city_view, forced_air, laundry_room, view, single_story, garage_1_or_more, farm, ranch, park, playground, trails, shopping",
2159,2001.0,2173.0,7492.0,3.0,3.0,2.0,675000.0,731000.0,2023-05-04T14:37:19Z,2023-06-13,30315,Atlanta,-84.378138,33.734243,GA,single_family,"central_air, community_outdoor_space, dining_room, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, granite_kitchen, modern_kitchen, large_kitchen, fenced_yard, floor_plan, ensuite, park, shopping",
2160,2009.0,2498.0,2496.0,3.0,3.0,1.0,895000.0,865000.0,2022-10-07T14:06:47Z,2023-06-13,30318,Atlanta,-84.411976,33.785495,GA,condos,"central_air, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, den_or_office, dishwasher, family_room, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, community_swimming_pool, single_story, high_ceiling, two_master_suites, master_suite, ensuite, shopping",
2161,1960.0,590.0,610.0,1.0,1.0,1.0,179000.0,177500.0,2023-05-11T16:38:48Z,2023-06-13,30319,Atlanta,-84.354513,33.853815,GA,condos,"central_air, central_heat, community_security_features, dishwasher, energy_efficient, hardwood_floors, laundry_room, recreation_facilities, tennis_court, washer_dryer, community_swimming_pool, single_story, gated_community, security, shopping",
2162,1938.0,1736.0,13473.0,3.0,2.0,2.0,865000.0,842500.0,2023-05-18T23:06:41Z,2023-06-13,30305,Atlanta,-84.370839,33.832925,GA,single_family,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_tennis_court, den_or_office, dishwasher, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, updated_kitchen, modern_kitchen, large_kitchen, screen_porch, groundscare",
2163,1964.0,879.0,880.0,2.0,1.0,1.0,350000.0,355000.0,2023-05-25T14:11:09Z,2023-06-13,30316,Atlanta,-84.366417,33.748763,GA,condos,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, single_story",
2164,1958.0,986.0,958.0,2.0,1.0,1.0,259990.0,259900.0,2023-04-06T15:20:39Z,2023-06-13,30306,Atlanta,-84.339048,33.793004,GA,condos,"central_air, central_heat, community_outdoor_space, dishwasher, recreation_facilities, washer_dryer, single_story, modern_kitchen, open_kitchen, open_floor_plan, floor_plan, medicalcare, shopping",
2165,2012.0,1884.0,7405.0,3.0,3.0,2.0,530000.0,530000.0,2023-05-18T12:20:40Z,2023-06-13,30318,Atlanta,-84.444877,33.80209,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, fireplace, hardwood_floors, laundry_room, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, open_kitchen, fenced_yard, floor_plan, front_porch, golf_course",
